"ADCClsTerm","InstDataPoint","Class","Course","ADCClsShortTitle","ADCClsPrefix","ADCClsNumber","ADCClsSection","ADCClsStartDate","ADCClsEndDate","ADCClsCurrentStatus","ADCClsIMethod","ADCClsCUCredits","ADCClsCEUnits","ADCClsCapacity","ADCClsActiveStuCt","ClsAvailSeats","ADCClsAcadLevel","ADCClsFTEContactHrs","ADCClsFTEStuCt","ADCClsTotalFTE","ADCClsMeetDays01","ADCClsMeetDays02","ADCClsMeetDays03","ADCClsMeetDays04","ADCClsMeetDays05","ADCClsMeetDays06","ADCClsMeetDays07","ADCClsMeetDays08","ADCClsMeetDays09","ADCClsMeetDays10","ADCClsMeetDays11","ADCClsMeetDays12","ADCClsMeetDays13","ADCClsMeetDays14","ADCClsMeetDays15","ADCClsMeetDays16","ADCClsMeetDays17","ADCClsMeetDays18","ADCClsMeetDays19","ADCClsMeetDays20","ADCClsMeetDays21","ADCClsMeetDays22","ADCClsMeetDays23","ADCClsMeetDays24","ADCClsMeetDays25","ADCClsMeetDays26","ADCClsMeetDays27","ADCClsMeetDays28","ADCClsMeetDays29","ADCClsMeetDays30","ADCClsMeetDays31","ADCClsMeetDays32","ADCClsMeetDays33","ADCClsMeetDays34","ADCClsMeetDays35","ADCClsMeetDays36","ADCClsMeetDays37","ADCClsMeetDays38","ADCClsMeetDays39","ADCClsMeetDays40","ADCClsStartTime01","ADCClsStartTime02","ADCClsStartTime03","ADCClsStartTime04","ADCClsStartTime05","ADCClsStartTime06","ADCClsStartTime07","ADCClsStartTime08","ADCClsStartTime09","ADCClsStartTime10","ADCClsStartTime11","ADCClsStartTime12","ADCClsStartTime13","ADCClsStartTime14","ADCClsStartTime15","ADCClsStartTime16","ADCClsStartTime17","ADCClsStartTime18","ADCClsStartTime19","ADCClsStartTime20","ADCClsStartTime21","ADCClsStartTime22","ADCClsStartTime23","ADCClsStartTime24","ADCClsStartTime25","ADCClsStartTime26","ADCClsStartTime27","ADCClsStartTime28","ADCClsStartTime29","ADCClsStartTime30","ADCClsStartTime31","ADCClsStartTime32","ADCClsStartTime33","ADCClsStartTime34","ADCClsStartTime35","ADCClsStartTime36","ADCClsStartTime37","ADCClsStartTime38","ADCClsStartTime39","ADCClsStartTime40","ADCClsEndTime01","ADCClsEndTime02","ADCClsEndTime03","ADCClsEndTime04","ADCClsEndTime05","ADCClsEndTime06","ADCClsEndTime07","ADCClsEndTime08","ADCClsEndTime09","ADCClsEndTime10","ADCClsEndTime11","ADCClsEndTime12","ADCClsEndTime13","ADCClsEndTime14","ADCClsEndTime15","ADCClsEndTime16","ADCClsEndTime17","ADCClsEndTime18","ADCClsEndTime19","ADCClsEndTime20","ADCClsEndTime21","ADCClsEndTime22","ADCClsEndTime23","ADCClsEndTime24","ADCClsEndTime25","ADCClsEndTime26","ADCClsEndTime27","ADCClsEndTime28","ADCClsEndTime29","ADCClsEndTime30","ADCClsEndTime31","ADCClsEndTime32","ADCClsEndTime33","ADCClsEndTime34","ADCClsEndTime35","ADCClsEndTime36","ADCClsEndTime37","ADCClsEndTime38","ADCClsEndTime39","ADCClsEndTime40","ADCClsCampus01","ADCClsCampus02","ADCClsCampus03","ADCClsCampus04","ADCClsCampus05","ADCClsCampus06","ADCClsCampus07","ADCClsCampus08","ADCClsCampus09","ADCClsCampus10","ADCClsCampus11","ADCClsCampus12","ADCClsCampus13","ADCClsCampus14","ADCClsCampus15","ADCClsCampus16","ADCClsCampus17","ADCClsCampus18","ADCClsCampus19","ADCClsCampus20","ADCClsCampus21","ADCClsCampus22","ADCClsCampus23","ADCClsCampus24","ADCClsCampus25","ADCClsCampus26","ADCClsCampus27","ADCClsCampus28","ADCClsCampus29","ADCClsCampus30","ADCClsCampus31","ADCClsCampus32","ADCClsCampus33","ADCClsCampus34","ADCClsCampus35","ADCClsCampus36","ADCClsCampus37","ADCClsCampus38","ADCClsCampus39","ADCClsCampus40","ADCClsBldg01","ADCClsBldg02","ADCClsBldg03","ADCClsBldg04","ADCClsBldg05","ADCClsBldg06","ADCClsBldg07","ADCClsBldg08","ADCClsBldg09","ADCClsBldg10","ADCClsBldg11","ADCClsBldg12","ADCClsBldg13","ADCClsBldg14","ADCClsBldg15","ADCClsBldg16","ADCClsBldg17","ADCClsBldg18","ADCClsBldg19","ADCClsBldg20","ADCClsBldg21","ADCClsBldg22","ADCClsBldg23","ADCClsBldg24","ADCClsBldg25","ADCClsBldg26","ADCClsBldg27","ADCClsBldg28","ADCClsBldg29","ADCClsBldg30","ADCClsBldg31","ADCClsBldg32","ADCClsBldg33","ADCClsBldg34","ADCClsBldg35","ADCClsBldg36","ADCClsBldg37","ADCClsBldg38","ADCClsBldg39","ADCClsBldg40","ADCClsRoom01","ADCClsRoom02","ADCClsRoom03","ADCClsRoom04","ADCClsRoom05","ADCClsRoom06","ADCClsRoom07","ADCClsRoom08","ADCClsRoom09","ADCClsRoom10","ADCClsRoom11","ADCClsRoom12","ADCClsRoom13","ADCClsRoom14","ADCClsRoom15","ADCClsRoom16","ADCClsRoom17","ADCClsRoom18","ADCClsRoom19","ADCClsRoom20","ADCClsRoom21","ADCClsRoom22","ADCClsRoom23","ADCClsRoom24","ADCClsRoom25","ADCClsRoom26","ADCClsRoom27","ADCClsRoom28","ADCClsRoom29","ADCClsRoom30","ADCClsRoom31","ADCClsRoom32","ADCClsRoom33","ADCClsRoom34","ADCClsRoom35","ADCClsRoom36","ADCClsRoom37","ADCClsRoom38","ADCClsRoom39","ADCClsRoom40","ClsFTETier","InstCountry","InstState","InstShortName","InstTerm","ADCClsID"
2015CE3,ET,ABL601490,ABL6014,Math Sense,ABL,6014,90,08/18/15,10/08/15,C,TR,,0,28,0,28,BSP,0,0,0,T,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:30PM,06:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00PM,09:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H1,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2235,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC,201503,158052
2015CE3,ET,BLA600001,BLA6000,Bridges Reading Language Arts,BLA,6000,01,08/17/15,10/09/15,A,TR,,6,29,29,0,BSP,0,26,2.06,T,W,TH,F,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,08:30AM,08:30AM,08:30AM,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30AM,10:30AM,10:30AM,10:30AM,10:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,1013,1013,1013,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,TA,TA,TA,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,2116,2116,2116,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC,201503,158053
2015CE3,ET,BLA600002,BLA6000,Bridges Reading Language Arts,BLA,6000,02,08/17/15,10/08/15,C,TR,0,6,28,0,28,BSP,0,0,0,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,08:30AM,08:30AM,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30AM,11:30AM,11:30AM,11:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,2008,2008,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,TA,TA,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,2116,2116,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC,201503,158054
2015CE3,ET,ECC600002,ECC6000,College & Career Multilevel,ECC,6000,02,08/17/15,10/09/15,C,TR,0,6.6,25,0,25,BSP,0,0,0,M,T,W,TH,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,08:30AM,08:30AM,08:30AM,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30AM,10:30AM,10:30AM,10:30AM,10:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,2006,2006,2006,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CT,CT,CT,CT,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,133,133,133,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC,201503,158074
2015CE3,ET,ECC600010,ECC6000,College & Career Multilevel,ECC,6000,10,01/01/15,12/31/15,C,TR,0,6.6,25,0,25,BSP,0,0,0,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30AM,11:30AM,11:30AM,11:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:00PM,02:00PM,02:00PM,02:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,1013,1013,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KR,KR,KR,KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,314,314,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC,201503,158076
2015CE3,ET,ECC600012,ECC6000,College & Career Multilevel,ECC,6000,12,01/01/15,12/31/15,C,TR,0,6.6,25,0,25,BSP,0,0,0,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30AM,11:30AM,11:30AM,11:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:00PM,02:00PM,02:00PM,02:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,1013,1013,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KR,KR,KR,KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,314,314,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC,201503,158077
2015CE3,ET,ECC600040,ECC6000,College & Career Multilevel,ECC,6000,40,01/01/15,12/31/15,C,TR,0,6.6,25,0,25,BSP,0,0,0,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00AM,09:00AM,09:00AM,09:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30AM,11:30AM,11:30AM,11:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H1,H1,H1,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2237,2237,2237,2237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC,201503,158079
2015CE3,ET,ECC600710,ECC6007,College & Career Literacy,ECC,6007,10,08/17/15,10/09/15,A,TR,,6.6,25,24,1,BSP,0,23,1.64,M,T,W,TH,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,08:30AM,08:30AM,08:30AM,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30AM,10:30AM,10:30AM,10:30AM,10:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,1013,1013,1013,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,TA,TA,TA,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110,2110,2110,2110,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC,201503,158081
2015CE3,ET,ECC600711,ECC6007,College & Career Literacy,ECC,6007,11,08/17/15,10/08/15,A,TR,,6.6,25,18,7,BSP,0,15,0.82,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:00PM,06:00PM,06:00PM,06:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30PM,08:30PM,08:30PM,08:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,1013,1013,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,TA,TA,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110,2110,2110,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC,201503,158082
2015CE3,ET,ECC600712,ECC6007,College & Career Literacy,ECC,6007,12,10/14/15,12/11/15,A,TR,,6.6,35,33,2,BSP,0,23,1.38,M,T,W,TH,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,08:30AM,08:30AM,08:30AM,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30AM,10:30AM,10:30AM,10:30AM,10:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,1013,1013,1013,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,TA,TA,TA,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110,2110,2110,2110,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC,201503,158083
