SAS File,Datatel Table,Datatel Field,Download Field Name,Field Type,Field Start Position,Field End Position,Length,SAS Format,Multi-Value,SAS Variable Name,
Student03,XNC.PERSON,XNC.HEAD.HOUSEHOLD.FLAG,XNC.HEAD.HOUSEHOLD.FLAG,Character,78,100,23,$3.,No,ADCStuHeadHouseholdFlag,
Student03,XNC.PERSON,XNC.LIMITED.ENGLISH.FLAG,XNC.LIMITED.ENGLISH.FLAG,Character,101,124,24,$3.,No,ADCStuLimitEnglishFlag,
Student03,XNC.PERSON,XNC.HIGH.SCHOOL.TRACK,XNC.HIGH.SCHOOL.TRACK,Character,125,154,30,$4.,No,ADCStuHighSchoolTrack,
Student03,XNC.PERSON,XNC.EDU.ENTRY.LEVEL,XNC.EDU.ENTRY.LEVEL,Character,155,173,19,$3.,No,ADCStuEduEntryLvl,
Student03,XNC.PERSON,XNC.EDUCATIONAL.LEVEL,XNC.EDUCATIONAL.LEVEL,Character,174,203,30,$3.,No,ADCStuEduLvl,
Student03,XNC.PERSON,XNC.FATHER.DEGREE.FLAG,XNC.FATHER.DEGREE.FLAG,Character,204,225,22,$3.,No,ADCStuFtrDegLvl,
Student03,XNC.PERSON,XNC.MOTHER.DEGREE.FLAG,XNC.MOTHER.DEGREE.FLAG,Character,226,247,22,$3.,No,ADCStuMtrDegLvl,
Student03,XNC.PERSON,XNC.PERSON.ID,XNC.PERSON.ID,Character,248,260,13,$10.,No,ADCPersonID,
Student05,STUDENT.NON.COURSES,STNC.PERSON.ID,Person ID,Character,1,10,10,$10.,No,ADCPersonID,
Student05,STUDENT.NON.COURSES,STNC.NCRS.TYPE,STNC.NCRS.TYPE,Character,11,40,30,$6.,No,ADCStuNonCourseType,
Student05,STUDENT.NON.COURSES,STNC.SOURCE,Source,Character,41,70,30,$4.,No,ADCStuNonCourseSource,
Student05,STUDENT.NON.COURSES,STNC.CATEGORY,Category,Character,71,95,25,$3.,No,ADCStuNonCourseCategory,
Student05,STUDENT.NON.COURSES,STNC.CATEGORY.TRANSLATION,Category Translation,Character,96,120,25,$15.,No,ADCStuNonCourseCatTrans,
Student05,STUDENT.NON.COURSES,STNC.START.DATE,Start Date,Character,121,130,10,$10.,No,ADCStuNonCourseStartDate,
Student05,STUDENT.NON.COURSES,STNC.END.DATE,End Date,Character,131,138,8,$8.,No,ADCStuNonCourseEndDate,
Student05,STUDENT.NON.COURSES,STNC.STATUS,Status,Character,139,168,30,$6.,No,ADCStuNonCourseStatus,
Student05,STUDENT.NON.COURSES,STNC.STATUS.DATE,Status Date,Character,169,179,11,$10.,No,ADCStuNonCourseStatusDate,
Student05,STUDENT.NON.COURSES,STNC.NON.COURSE,Noncourse,Character,180,189,10,$10.,No,ADCStuNonCourseCode,
Student05,STUDENT.NON.COURSES,STNC.TITLE,Title,Character,190,219,30,$30.,No,ADCStuNonCourseTitle,
Student05,STUDENT.NON.COURSES,STNC.SCORE,Score,Numeric,220,224,5,5.,No,ADCStuNonCourseScore,
Student05,STUDENT.NON.COURSES,STNC.GRADE,,,,,,,,ADCStuNonCourseGrade,
Student05,STUDENT.NON.COURSES,STNC.GRADE.SCHEME,,,,,,,,ADCStuNonCourseGradeScheme,
Student05,STUDENT.NON.COURSES,STNC.PERSON.ID,Person ID,Character,225,234,10,$10.,No,ADCPersonID,
Student07,INSTITUTIONS.ATTENDED,INSTA.PERSON.ID,Person,Character,1,10,10,$10.,No,ADCPersonID,
Student07,INSTITUTIONS.ATTENDED,INSTA.INSTITUTIONS.ID,Institution,Character,11,21,11,$10.,No,ADCStuHighSchoolCode,
Student07,INSTITUTIONS.ATTENDED,X.INSTA.INSTITUTION,Institution,Character,22,46,25,$25.,No,ADCStuHighSchoolName,
Student07,INSTITUTIONS.ATTENDED,INSTA.START.DATES,INSTA.START.DATES,Character,47,63,17,$10.,Yes,ADCStuHighSchoolStartDate,
Student07,INSTITUTIONS.ATTENDED,INSTA.END.DATES,INSTA.END.DATES,Character,64,78,15,$10.,Yes,ADCStuHighSchoolEndDate,
Student07,INSTITUTIONS.ATTENDED,INSTA.GRAD.TYPE,Graduation Type,Character,79,98,20,$3.,No,ADCStuHighSchoolGraduationType,
Student07,INSTITUTIONS.ATTENDED,INSTA.TRANSCRIPT.TYPE,INSTA.TRANSCRIPT.TYPE,Character,99,119,21,$4.,No,ADCStuHighSchoolTranscriptType,
Student07,INSTITUTIONS.ATTENDED,INSTA.TRANSCRIPT.DATE,INSTA.TRANSCRIPT.DATE,Character,120,140,21,$10.,No,ADCStuHighSchoolTranscriptDate,
Student07,INSTITUTIONS.ATTENDED,INSTA.TRANSCRIPT.STATUS,INSTA.TRANSCRIPT.STATUS,Character,141,168,28,$3.,No,ADCStuHighSchoolTranscriptStatus,
Student07,INSTITUTIONS.ATTENDED,INSTA.INST.TYPE,Inst,Character,169,173,5,$4.,No,ADCStuHighSchoolType,
Student07,INSTITUTIONS.ATTENDED,INSTA.EXT.GPA,,,,,,,No,ADCStuHighSchoolGPA,
Student07,INSTITUTIONS.ATTENDED,INSTA.PERSON.ID,Person,Character,174,183,10,$10.,No,ADCPersonID,
Student09,STUDENT.COURSE.SEC,STC.PERSON.ID,Person ID,Character,1,10,10,$10.,No,ADCPersonID,
Student09,STUDENT.COURSE.SEC,STC.COURSE.NAME,Course Name,Character,11,25,15,$12.,No,ADCStuCourseDash,
Student09,STUDENT.COURSE.SEC,STC.SECTION.NO,Section,Character,26,32,7,$6.,No,ADCStuClsSection,
Student09,STUDENT.COURSE.SEC,STC.SUBJECT,Subject,Character,33,72,40,$8.,No,ADCStuClsPrefix,
Student09,STUDENT.COURSE.SEC,STC.TERM,Term,Character,73,107,35,$7.,No,ADCStuClsTerm,DUPLICATE
Student09,STUDENT.COURSE.SEC,STC.REPORTING.TERM,Rpt Term,Character,108,142,35,$7.,No,ADCStuClsReportTerm,
Student09,STUDENT.COURSE.SEC,STC.STATUS,Status,Character,143,157,15,$4.,Yes,ADCStuClsStatus,
Student09,STUDENT.COURSE.SEC,STC.STATUS.DATE,Status Date,Character,158,168,11,$10.,Yes,ADCStuClsStatusDate,
Student09,STUDENT.COURSE.SEC,STC.STATUS.TIME,Status Time,Character,169,175,7,$9.,Yes,ADCStuClsStatusTime,
Student09,STUDENT.COURSE.SEC,STC.STATUS.REASON,Reason,Character,176,204,29,$4.,No,ADCStuClsStatusReason,
Student09,STUDENT.COURSE.SEC,STC.GRADE.SCHEME,Grade Scheme,Character,205,239,35,$4.,No,ADCStuClsGradeScheme,
Student09,STUDENT.COURSE.SEC,STC.CEUS,CEUs,Numeric,240,245,6,6.,No,ADCStuRegCEUnits,
Student09,STUDENT.COURSE.SEC,STC.CRED,Reg Cred,Numeric,246,253,8,8.,No,ADCStuRegCUCredits,
Student09,STUDENT.COURSE.SEC,STC.FINAL.GRADE,Final Grade,Character,254,264,11,$4.,No,ADCStuClsFinalGradeCode,
Student09,STUDENT.COURSE.SEC,X.SCS.GRADE,Grade,Character,265,269,5,$4.,No,ADCStuClsFinalGrade,
Student09,STUDENT.COURSE.SEC,X.SCS.GRADE.DESC,Grade Legend,Character,270,299,30,$30.,No,ADCStuClsGradeLegend,
Student09,STUDENT.COURSE.SEC,STC.VERIFIED.GRADE,Vrfd,Character,300,304,5,$4.,No,ADCStuClsVrfdGradeCode,
Student09,STUDENT.COURSE.SEC,STC.VERIFIED.GRADE.CHGOPR,Verified Grade Changed By,Character,305,329,25,$8.,No,ADCStuClsVrfdGradeChgOpr,
Student09,STUDENT.COURSE.SEC,STC.VERIFIED.GRADE.DATE,Verified Grade Date,Character,330,348,19,$10.,No,ADCStuClsVrfdGradeDate,
Student09,STUDENT.COURSE.SEC,SCS.REG.METHOD,Reg Method,Character,349,378,30,$7.,No,ADCStuClsRegMethod,
Student09,STUDENT.COURSE.SEC,X.SCS.SEC.COURSE.NO,X.SCS.SEC.COURSE.NO,Character,379,397,19,$8.,No,ADCStuClsNumber,
Student09,STUDENT.COURSE.SEC,XSCS.PRI.ACAD.PROG ,,,,,,,,ADCStuPrimaryProgramCode,
Student09,STUDENT.COURSE.SEC,SCS.COURSE.SECTION,,Character,,,,$7.,No,ADCClsID,
Student09,STUDENT.COURSE.SEC,STC.PERSON.ID,Person ID,Character,,,1,$10.,No,ADCPersonID,DUPLICATE-NOT USED
Student09,STUDENT.COURSE.SEC,Created Variable,,Character,,,24,$24.,No,ClassDash,
Student09,STUDENT.COURSE.SEC,Created Variable,,Character,,,15,$15.,No,ExitTranslation,
Student11,STUDENT.ACAD.LEVELS,STA.STUDENT,Student ID,Character,1,10,10,$10.,No,ADCPersonID,
Student11,STUDENT.ACAD.LEVELS,STA.ACAD.LEVEL,Acad Level,Character,11,45,35,$6.,No,ADCStuAcadLevel,
Student11,STUDENT.ACAD.LEVELS,STA.ADMIT.STATUS,Admit Status,Character,46,80,35,$3.,No,ADCStuAdmitStatus11,BAD-NOT USED
Student11,STUDENT.ACAD.LEVELS,STA.FED.COHORT.GROUP,Fed Cohort Group,Character,81,110,30,$8.,No,ADCStuFedCohortGroup,
Student11,STUDENT.ACAD.LEVELS,STA.START.TERM,Start Term,Character,111,145,35,$8.,No,ADCStuStartTerm,
Student11,STUDENT.ACAD.LEVELS,STA.TERMS,Terms,Character,146,152,7,$7.,Yes,ADCStuTerms,
Student11,STUDENT.ACAD.LEVELS,STA.ATTEMPT.CREDS,Credits Attempted,Numeric,153,169,17,8.,No,ADCStuCreditAttempted,
Student11,STUDENT.ACAD.LEVELS,STA.CMPL.CRED,Completed,Numeric,170,178,9,8.,No,ADCStuCreditCompleted,
Student11,STUDENT.ACAD.LEVELS,STA.CUM.GPA,Cum GPA,Numeric,179,185,7,7.,No,ADCStuCummulativeGPA,
Student11,STUDENT.ACAD.LEVELS,X.STA.PROGRAM.GPA,Program GPA,Numeric,186,196,11,8.,No,ADCStuProgramGPA,
Student11,STUDENT.ACAD.LEVELS,STA.STUDENT,Student ID,Character,197,206,10,$10.,No,ADCPersonID,
Student12,PERSON.ST,Datatel Field,Download Field Name,Field Type,Field Start Position,Field End Position,Length,SAS Format,Multi-Value,SAS Variable Name,
Student12,PERSON.ST,@ID,PERSON.ST,Character,1,10,10,$10.,No,ADCPersonID,
Student12,PERSON.ST,PST.CAMPUS.ORGS.MEMBER,Campus Organization,Character,11,30,20,$10.,Yes,ADCStuCampusOrgs,
Student12,PERSON.ST,PST.REGISTERED,Reg?,Character,31,34,4,$4.,No,ADCStuRegistered,
Student12,PERSON.ST,@ID,PERSON.ST,Character,35,44,10,$10.,No,ADCPersonID,
Student14 Download Specifications,,,,,,,,,
Student14,STUDENT.PROGRAMS,STPR.STUDENT,STPR.STUDENT,Character,1,12,12,$10.,No,ADCPersonID,
Student14,STUDENT.PROGRAMS,STPR.ACAD.LEVEL,Acad Level,Character,13,37,25,$4.,No,ADCStuProgAcadLevel,
Student14,STUDENT.PROGRAMS,STPR.ACAD.PROGRAM,Acad Program,Character,38,57,20,$12.,No/Yes,ADCStuAcadPrograms,
Student14,STUDENT.PROGRAMS,STPR.USER1,STPR.USER1,Character,58,67,10,$4.,No,ADCStuPrimaryProgramFlag,
Student14,STUDENT.PROGRAMS,STPR.ACTUAL.TITLE,Actual Title,Character,68,107,40,$39.,No,ADCStuAcadProgramTitle,
Student14,STUDENT.PROGRAMS,STPR.ADMIT.STATUS,Admit Status,Character,108,142,35,$3.,No,ADCStuProgAdmitStatus,
Student14,STUDENT.PROGRAMS,STPR.ALLOW.GRADUATION.FLAG,Grad Allowed,Character,143,154,12,$3.,No,ADCStuGradAllowed,
Student14,STUDENT.PROGRAMS,STPR.CATALOG,Catalog,Character,155,189,35,$6.,No,ADCStuProgCatalogYear,
Student14,STUDENT.PROGRAMS,STPR.CURRENT.END.DATE,Current End Date,Character,190,205,16,$10.,No,ADCStuProgCurrentEndDate,
Student14,STUDENT.PROGRAMS,STPR.CURRENT.STATUS,Current Status,Character,206,219,14,$3.,No,ADCStuProgCurrentStatus,
Student14,STUDENT.PROGRAMS,STPR.CURRENT.STATUS.DATE,Status Date,Character,220,230,11,$10.,No,ADCStuProgCurrentStatusDate,
Student14,STUDENT.PROGRAMS,STPR.END.DATE,End Date,Character,231,238,8,$8.,No,ADCStuProgEndDate,
Student14,STUDENT.PROGRAMS,STPR.START.DATE,Start Date,Character,239,248,10,$10.,No,ADCStuProgStartDate,
Student14,STUDENT.PROGRAMS,STPR.STATUS,Status,Character,249,278,30,$3.,Yes,ADCStuProgStatus,
Student14,STUDENT.PROGRAMS,STPR.STATUS.CHGOPR,Status Changed By,Character,279,295,17,$10.,Yes,ADCStuProgStatusChgOpr,
Student14,STUDENT.PROGRAMS,STPR.STATUS.DATE,Status Date,Character,296,306,11,$10.,Yes,ADCStuProgStatusChgDate,
Student14,STUDENT.PROGRAMS,STPR.STUDENT.ED.PLAN,Ed Plan,Character,307,316,10,$6.,No,ADCStuEdPlan,
Student14,STUDENT.PROGRAMS,STPR.DEPT,Dept,Character,317,341,25,$6.,No,ADCStuProgDept,
Student14,STUDENT.PROGRAMS,X818.STPR.PRI.ACAD.PROG,Primary Prog,Character,342,361,20,$12.,No,ADCStuPrimaryAcadProgram,Dropped
Student14,STUDENT.PROGRAMS,STPR.STUDENT,STPR.STUDENT,Character,362,373,12,$10.,No,ADCPersonID,
Student15,STUDENTS,@ID,STUDENTS,Character,1,10,10,$10.,No,ADCPersonID,
Student15,STUDENTS,STU.TYPES,Student Type,Character,11,45,35,$6.,Yes,ADCStuTypes,NOT USED
Student15,STUDENTS,STU.STS.TYPE,STU.STS.TYPE,Character,46,57,12,$6.,Yes,ADCStuSTSType,NOT USED
Student15,STUDENTS,STU.MOST.RECENT.TERM,CurTerm,Character,58,64,7,$7.,No,ADCStuMostRecentTerm,DUP-NOT USED
Student15,STUDENTS,STU.ACTIVE.PROGRAMS,Active Programs,Character,65,84,20,$12.,Yes,ADCStuActivePrograms,
Student15,STUDENTS,STU.ACAD.LEVELS,Acad Levels,Character,85,119,35,$5.,Yes,ADCStuProgAcadLevel,NOT USED
Student15,STUDENTS,STU.START.TERM,Start T,Character,120,126,7,$7.,No,ADCStuProgAcadLevelStartTerm,BAD-NOT USED
Student15,STUDENTS,STU.TERMS,Terms,Character,127,161,35,$7.,Yes,ADCStuAllTerms,
Student15,STUDENTS,STU.CURRENT.TYPE,Current,Character,162,168,7,$6.,No,ADCStuCurrentType,
Student15,STUDENTS,STU.DEFAULT.PLANNING.PROGRAM,STU.DEFAULT.PLANNING.PROGRAM,Character,169,196,28,$28.,No,ADCStuProgDefaultPlan,BAD-NOT USED
Student15,STUDENTS,X.STU.CU.PROGRAM,First CU Program,Character,197,216,20,$12.,No,ADCStuFirstCUProgram,
Student15,STUDENTS,PST.EDUC.GOALS,Educ Goals,Character,217,246,30,$3.,Yes,ADCStuEdGoals,
Student15,STUDENTS,STU.TYPES,Student Type,Character,247,281,35,$6.,Yes,ADCStuTypes,NOT USED
Student15,STUDENTS,STU.TYPE.END.DATE,Student Type,Character,282,293,12,$10.,Yes,ADCStuTypesEndDate,NOT USED
Student15,STUDENTS,STU.CURRENT.TYPE,Current,Character,294,300,7,$6.,No,ADCStuCurrentType,DUPLICATE-NOT USED
Student15,STUDENTS,@ID,STUDENTS,Character,301,310,10,$10.,No,ADCPersonID,
